,DATE,afghanistan,afrique du sud,algérie,allemagne,angola,arabie,argentine,australie,autriche,belgique,birmanie,bolivie,bosnieherzégovine,brésil,bulgarie,cambodge,canada,chili,chine,colombie,corée,costa rica,côte d’ivoire,croatie,cuba,danemark,égypte,émirats arabes unis,équateur,espagne,étatsunis,éthiopie,finlande,france,grèce,guatemala,haïti,honduras,hongrie,inde,indonésie,irak,iran,irlande,islande,israël,italie,jamaïque,japon,jordanie,kosovo,koweït,laos,liban,libye,maroc,mexique,monaco,nicaragua,nigéria,norvège,nouvellezélande,ouganda,pakistan,panama,palestine,paraguay,paysbas,pérou,philippines,pologne,portugal,qatar,congo,tchécoslovaquie,roumanie,royaumeuni,russie,salvador,rwanda,sénégal,serbie,singapour,slovaquie,somalie,soudan,sri lanka,suède,suisse,syrie,tadjikistan,taïwan,thaïlande,timororiental,tunisie,turquie,ukraine,uruguay,venezuela,vietnam,yémen,république tchèque,yougoslavie,urss,NbEditions
0,02/1912,0,0,1,77,0,0,2,12,9,16,0,1,0,0,0,0,484,0,36,44,1,0,0,1,10,4,0,0,0,31,0,0,2,214,0,0,2,0,2,13,0,0,1,21,0,0,37,10,23,0,0,0,0,2,0,26,39,4,0,0,3,5,0,0,6,1,3,3,0,3,3,18,0,16,0,5,5,46,0,0,1,0,0,0,0,0,0,2,5,4,0,0,0,0,3,16,0,0,0,0,0,0,0,0,19
1,03/1912,2,0,2,81,1,0,4,15,17,18,0,0,0,3,0,0,859,1,80,39,0,0,0,0,15,5,0,0,2,48,0,0,0,280,8,3,0,3,1,13,0,0,3,33,0,3,28,10,24,0,0,0,0,1,0,21,33,4,4,0,10,6,0,0,13,1,3,0,1,2,5,18,0,0,0,1,5,30,2,0,0,0,0,0,0,1,0,9,16,2,0,0,0,0,1,25,0,0,1,0,0,0,0,1,26
2,04/1912,0,0,13,43,0,0,2,21,4,15,3,0,0,3,0,1,717,4,51,19,1,0,0,3,4,1,0,0,0,17,0,0,7,305,3,0,3,4,3,19,0,0,1,72,0,5,47,8,25,0,0,2,0,1,0,30,36,5,0,0,5,11,0,0,9,2,2,1,0,3,2,12,0,1,0,1,10,25,1,0,0,0,0,0,0,0,0,16,16,2,0,0,0,0,5,33,0,0,0,0,0,0,0,0,26
3,05/1912,1,0,8,108,0,1,3,27,8,25,0,3,0,8,2,1,901,3,30,49,0,0,0,0,42,22,0,0,0,23,1,0,0,515,6,0,0,0,7,9,0,0,4,29,0,0,50,4,14,0,0,0,0,0,1,66,38,2,2,0,10,13,0,0,24,0,0,0,5,0,16,11,0,6,0,1,21,53,1,0,4,1,0,0,0,1,0,13,16,1,0,0,0,0,3,30,0,0,0,0,0,0,0,0,27
4,06/1912,0,0,4,60,0,4,4,18,13,47,1,0,0,5,2,0,1155,5,42,31,2,0,0,0,50,8,0,0,0,11,2,1,0,549,5,0,2,3,5,20,0,0,0,22,0,3,28,4,24,0,0,0,1,1,0,23,42,5,6,0,2,5,0,0,23,2,0,7,1,4,3,12,0,3,0,0,14,45,0,0,0,2,0,0,0,1,0,14,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26
5,07/1912,1,0,1,171,0,5,4,48,24,24,0,0,0,1,1,0,1111,6,40,21,6,0,0,0,11,18,0,0,0,28,0,0,6,614,12,0,5,4,12,12,0,0,1,27,0,8,48,1,51,0,0,0,0,3,0,43,37,3,0,0,6,14,0,0,63,0,1,1,23,1,4,34,0,9,0,2,18,69,1,0,1,3,0,0,0,3,0,35,28,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,27
6,08/1912,0,0,4,167,0,2,7,62,25,24,0,1,0,7,14,0,1115,7,66,40,5,0,0,0,1,3,0,0,0,35,0,0,2,439,8,0,7,0,4,13,0,0,4,28,0,4,52,1,48,0,0,0,1,0,0,64,37,0,29,0,6,17,0,0,134,0,2,0,13,8,2,11,0,9,0,0,25,79,0,0,1,3,1,0,0,1,0,5,37,5,0,0,0,0,1,91,0,0,1,0,0,0,0,0,27
7,09/1912,0,0,5,143,0,2,10,42,26,47,0,1,0,7,31,0,854,12,78,31,9,0,0,2,5,4,0,0,2,34,1,0,0,338,29,2,2,3,9,11,0,0,3,56,10,0,77,1,26,0,0,0,1,3,6,65,35,0,22,0,12,19,0,0,48,0,2,1,4,2,7,14,0,3,0,3,19,92,3,0,3,23,0,0,0,0,0,5,67,0,0,0,0,0,2,97,0,4,0,0,0,0,0,0,25
8,10/1912,0,0,1,111,0,1,3,18,87,40,0,0,0,3,178,0,750,0,25,13,0,0,0,0,4,2,0,0,0,29,1,0,0,355,164,0,0,0,9,8,0,0,2,42,0,2,92,0,14,0,1,1,2,1,0,47,45,1,8,0,4,3,0,0,7,2,0,1,7,1,9,12,0,6,0,38,11,127,0,0,0,140,0,0,0,0,0,9,33,9,0,0,0,0,1,392,0,0,0,0,0,0,0,0,27
9,11/1912,0,0,6,128,0,0,3,11,175,37,0,0,1,3,110,0,689,5,20,24,4,0,0,1,9,2,0,0,0,37,1,0,0,301,39,0,0,3,15,25,0,0,1,31,1,2,65,9,8,0,0,0,1,0,0,46,9,0,1,0,3,3,0,0,18,3,0,1,0,2,5,7,0,1,0,16,16,137,0,0,2,177,0,0,0,0,0,8,19,5,0,0,0,0,1,203,0,0,0,0,0,0,0,0,26
10,12/1912,0,0,11,122,0,1,11,28,145,26,0,0,1,3,84,0,986,2,34,15,10,0,0,1,10,5,0,0,0,36,0,0,1,267,125,0,2,3,9,28,0,0,3,22,0,1,69,3,25,0,0,0,0,1,0,48,26,8,3,0,9,9,0,0,44,0,6,1,7,1,6,14,0,2,0,26,32,100,0,0,3,145,0,0,0,3,0,10,23,1,0,0,0,0,1,180,0,0,1,0,0,0,0,0,26
11,01/1913,0,0,7,72,0,0,7,33,55,37,0,6,0,6,70,0,907,2,47,15,1,0,0,0,12,2,0,0,0,64,0,0,0,264,36,1,2,0,6,7,0,0,0,21,1,6,57,4,13,0,0,0,0,0,0,28,35,15,5,0,10,13,0,0,54,3,0,0,11,4,5,11,0,3,0,63,32,72,7,0,0,27,0,0,0,3,0,7,31,1,0,0,0,0,0,279,0,1,4,0,0,0,0,0,26
12,02/1913,0,0,4,125,0,1,2,28,28,27,0,1,0,1,55,0,737,1,51,34,1,0,0,0,26,7,0,0,1,26,0,0,0,256,15,3,0,2,2,7,0,0,4,11,0,1,39,4,31,0,0,0,0,0,0,31,149,3,2,0,2,32,0,0,20,0,0,0,3,2,2,3,0,2,0,31,11,65,8,0,0,12,0,0,0,1,0,6,31,0,0,0,0,0,1,81,2,2,7,0,0,0,0,0,24
13,03/1913,0,0,4,116,1,0,4,15,56,34,1,1,0,2,46,0,692,1,37,21,4,0,0,0,9,11,0,0,0,24,0,0,1,322,75,1,0,2,5,8,0,0,1,23,0,4,47,0,17,0,0,0,0,1,0,11,47,0,5,0,4,10,0,0,17,2,0,3,1,4,1,3,0,3,0,11,10,58,0,0,0,33,0,0,0,0,0,5,32,1,0,0,0,0,2,86,1,0,4,0,0,0,0,0,26
14,04/1913,0,0,4,143,0,6,6,25,56,85,0,0,1,3,44,0,670,2,47,34,0,0,0,0,2,3,0,0,0,22,0,0,0,298,43,2,0,1,7,11,0,0,1,15,1,6,39,2,51,0,0,0,0,1,0,12,24,2,3,0,8,9,0,0,28,0,1,1,2,1,5,16,0,5,0,23,6,47,1,0,0,35,0,0,0,2,0,19,23,1,0,0,0,0,5,27,0,0,1,0,0,0,0,0,26
15,05/1913,2,0,0,108,0,2,4,31,52,25,0,5,1,1,51,0,1068,4,39,14,1,0,0,0,3,7,0,0,0,26,4,0,2,315,31,19,6,0,9,17,0,0,0,24,0,2,48,2,69,0,0,0,0,1,0,10,23,0,12,0,7,32,0,0,24,0,0,3,1,2,0,2,0,1,0,1,18,55,1,0,3,52,0,0,0,2,0,7,23,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,27
16,06/1913,0,0,3,106,0,2,6,24,14,24,0,1,1,10,78,0,935,6,20,19,4,0,0,0,7,5,0,0,2,19,4,0,0,270,33,1,0,1,3,18,0,0,1,43,0,1,43,7,50,0,0,3,0,1,0,22,13,0,12,0,14,3,0,0,25,0,0,0,3,7,3,7,0,0,0,8,9,65,1,0,0,65,0,0,0,0,0,4,28,1,0,0,0,0,0,48,0,0,5,0,0,0,0,0,25
17,07/1913,0,0,1,115,0,2,6,42,51,35,0,0,0,13,196,0,935,5,54,56,1,0,0,0,10,6,0,0,0,24,2,0,2,370,82,0,1,0,8,12,0,0,1,20,4,2,49,2,34,0,0,0,4,0,0,21,90,2,8,0,6,12,0,0,25,0,0,0,11,0,4,15,0,4,0,115,9,83,1,0,1,85,0,0,0,0,0,7,53,0,0,0,0,0,1,83,0,3,1,0,0,0,0,0,27
18,08/1913,0,0,4,178,0,3,11,42,38,32,1,3,0,8,70,0,852,8,48,55,1,0,0,0,10,12,0,0,0,28,4,0,3,280,30,2,4,2,8,27,0,0,0,12,0,2,37,1,55,0,0,0,15,1,0,9,177,2,16,0,11,24,0,0,80,1,4,9,10,16,2,19,0,1,0,31,13,54,6,0,2,14,0,0,0,0,0,10,39,3,0,0,0,0,2,55,0,2,16,0,0,0,0,0,26
19,09/1913,0,0,3,82,0,2,9,44,17,20,0,0,0,1,34,3,840,6,60,32,2,0,0,0,4,11,0,0,0,37,1,0,1,307,37,0,3,0,4,21,0,0,1,48,0,3,33,3,57,0,0,0,1,1,0,18,64,3,2,0,2,5,0,0,30,4,2,2,4,1,3,10,0,3,0,11,23,38,0,0,0,13,0,0,0,0,0,8,19,10,0,0,0,0,1,43,0,1,2,0,0,0,0,0,26
20,10/1913,0,0,1,147,0,3,8,35,49,41,0,0,0,10,14,0,987,4,32,62,0,0,0,0,9,2,0,0,0,54,2,0,0,327,11,2,1,0,5,11,0,0,1,63,2,2,59,4,43,0,0,0,0,0,0,14,108,1,1,0,4,17,0,0,49,2,0,1,3,6,4,42,0,4,0,7,20,47,3,0,0,8,0,0,0,0,0,5,31,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,27
21,11/1913,0,0,2,75,0,0,9,34,19,16,0,0,0,5,19,0,848,1,23,40,0,0,0,0,4,4,0,0,0,32,5,0,2,267,20,0,0,0,7,41,0,0,1,50,1,5,35,1,37,0,0,0,1,0,0,6,159,3,3,0,7,8,0,0,30,1,0,1,1,8,10,11,0,1,0,14,10,40,2,0,0,7,0,0,0,0,0,8,24,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,25
22,12/1913,0,0,2,75,1,0,5,32,16,17,1,0,0,3,8,0,1028,3,31,54,1,0,0,0,6,19,0,0,0,24,11,0,0,305,11,0,1,0,6,50,0,0,3,36,0,7,48,0,37,0,0,0,0,0,0,13,87,3,5,0,11,24,1,0,23,16,0,1,0,9,9,10,0,8,0,6,13,52,7,0,1,2,0,0,0,3,0,18,14,2,0,0,0,0,1,14,1,0,1,0,1,0,0,0,27
23,01/1914,0,0,5,86,4,1,18,58,12,19,0,0,0,14,13,0,647,5,25,25,2,0,0,1,6,5,0,0,0,23,1,0,1,236,22,3,6,0,3,26,0,0,5,35,0,2,42,3,35,0,0,0,0,0,0,5,79,0,0,0,2,32,1,0,19,3,0,1,0,0,7,17,0,5,0,7,13,31,1,0,0,7,0,0,0,0,0,2,19,2,0,0,0,0,0,28,0,3,1,0,0,0,0,0,27
24,02/1914,3,0,1,57,0,0,7,12,14,26,0,0,0,9,1,0,595,7,35,31,3,0,0,0,2,9,0,0,0,12,2,0,1,259,11,2,6,0,5,22,0,0,2,38,1,2,16,2,22,0,0,0,1,0,0,3,53,3,0,0,5,3,0,0,37,0,2,2,7,4,1,21,0,2,0,6,7,30,4,0,0,2,0,0,0,5,0,8,24,5,0,0,0,0,0,11,0,2,2,0,0,0,0,0,24
25,03/1914,0,0,2,65,0,0,6,36,16,36,7,1,0,21,5,0,767,4,18,49,1,0,0,0,2,5,1,0,0,12,1,0,3,240,3,1,2,1,2,38,0,0,4,109,2,3,15,0,23,0,0,0,1,0,0,2,59,6,1,0,5,24,0,0,31,4,0,0,1,7,1,3,0,3,0,2,11,36,1,0,0,9,0,0,0,8,0,8,24,7,0,0,0,0,0,8,0,0,2,0,1,0,0,0,26
26,04/1914,0,0,5,59,0,0,32,30,16,40,0,4,1,29,14,0,609,22,44,25,0,0,0,0,7,5,0,0,0,14,0,0,1,256,9,1,0,1,5,34,0,1,0,55,1,8,33,0,29,0,0,0,1,1,1,4,267,15,3,0,10,19,0,0,39,4,2,0,3,3,3,0,0,4,0,3,12,30,1,0,0,2,0,0,0,2,0,17,24,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,26
27,05/1914,0,0,4,75,1,0,16,24,22,38,0,2,1,28,17,0,811,21,33,31,0,0,0,0,6,19,0,0,0,26,1,0,4,277,15,4,4,0,10,22,0,0,1,51,2,0,39,0,17,0,0,0,0,0,0,10,231,2,0,0,11,11,0,0,46,2,4,11,3,3,7,4,0,7,0,3,21,48,2,0,0,5,0,0,0,0,0,13,30,3,0,0,0,0,0,11,0,0,2,0,0,0,0,0,26
28,06/1914,0,0,3,56,0,2,14,18,14,38,0,0,0,17,3,0,909,9,38,30,0,0,0,1,3,15,0,0,0,21,0,0,4,235,34,1,1,0,2,32,0,0,1,48,0,9,49,1,41,0,0,0,0,1,0,5,89,0,1,0,7,8,0,0,30,0,0,3,0,2,3,4,0,0,0,0,6,27,0,0,0,26,0,0,0,0,0,5,18,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,26
29,07/1914,0,0,5,176,0,1,12,29,220,47,0,1,0,10,19,0,873,16,50,15,0,0,0,2,14,10,0,0,0,28,0,0,2,421,30,0,4,2,29,18,0,0,2,75,0,4,53,8,13,0,0,0,2,1,0,12,115,1,2,0,14,14,0,0,38,2,1,1,3,11,4,24,0,0,0,6,12,186,2,0,0,233,0,0,0,0,0,10,41,1,0,0,0,0,0,22,0,1,1,0,0,0,0,0,27
30,08/1914,0,0,15,649,1,0,16,33,202,426,0,0,0,13,16,0,820,9,98,16,3,0,0,0,7,36,1,0,1,21,1,0,19,929,28,0,0,1,11,25,0,0,2,34,2,1,161,5,191,0,0,0,0,6,0,2,21,7,0,0,19,11,0,0,15,1,2,11,3,4,67,13,0,12,0,11,9,304,4,0,1,78,0,0,1,4,0,25,123,0,0,0,0,0,1,84,1,1,0,0,0,0,0,0,26
31,09/1914,0,0,5,406,0,1,4,18,203,394,0,0,0,2,9,0,712,8,38,9,0,0,0,1,4,12,0,0,0,19,2,0,5,795,9,2,0,2,40,20,0,0,3,32,1,4,115,0,50,0,0,0,0,0,0,12,27,1,0,0,14,9,0,0,10,0,0,2,1,3,93,2,0,6,0,45,14,234,0,0,0,70,0,0,0,6,0,10,57,0,0,0,0,0,0,83,0,2,0,0,0,0,0,0,26
32,10/1914,0,0,2,437,13,0,14,32,130,580,0,0,0,8,26,0,889,3,29,16,1,0,0,1,2,9,0,0,0,17,1,0,5,945,32,0,3,0,50,34,0,0,1,18,0,13,122,2,26,0,0,0,0,0,1,12,24,3,0,1,9,2,0,0,6,3,1,11,1,5,140,48,0,11,0,71,24,268,0,0,1,54,0,0,0,1,0,15,70,4,0,0,0,0,0,134,0,0,0,0,0,0,0,0,27
33,11/1914,2,0,3,340,3,11,10,20,73,346,0,0,1,5,57,0,720,61,21,22,0,0,0,1,2,12,0,0,0,9,1,0,8,827,22,0,0,0,19,21,0,0,6,31,1,5,50,0,33,0,0,0,0,5,0,11,25,5,0,0,15,2,0,0,14,5,0,1,10,2,187,16,0,5,0,17,11,250,0,0,0,77,1,0,0,2,0,15,34,9,0,0,0,0,2,284,0,3,0,0,0,0,0,0,25
34,12/1914,0,0,0,292,2,4,14,30,82,371,0,0,0,11,18,0,943,23,20,14,0,0,0,0,2,14,0,0,0,16,0,0,8,724,17,0,0,0,52,22,0,0,3,23,3,6,55,0,28,0,0,0,0,1,0,2,14,0,0,0,11,5,0,0,16,3,0,0,10,1,265,5,0,3,0,37,18,149,0,0,0,87,0,0,0,0,0,23,42,10,0,0,0,0,0,52,0,2,1,0,0,0,0,0,27
35,01/1915,0,0,2,242,0,6,11,22,67,297,0,0,0,1,13,0,680,0,14,6,0,0,0,2,1,14,0,0,0,11,0,0,1,493,8,1,1,0,67,23,0,0,4,16,7,6,67,0,38,0,0,0,0,4,0,2,5,0,0,0,5,3,0,0,13,4,5,1,2,1,117,0,0,0,0,61,12,100,0,0,0,31,0,0,0,0,0,16,44,12,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25
36,02/1915,0,0,1,383,7,2,11,34,70,152,0,0,1,4,31,0,711,1,54,10,0,0,0,1,4,14,0,0,0,16,0,0,2,374,12,1,1,0,22,16,0,0,1,36,0,3,65,0,57,0,0,0,0,0,1,2,9,0,0,0,16,9,1,0,16,4,0,13,1,1,110,13,0,2,0,48,11,127,2,0,1,37,3,0,0,1,0,18,30,8,0,0,0,0,0,43,0,0,0,0,0,0,0,0,24
37,03/1915,1,0,3,284,0,3,11,17,125,172,0,7,1,7,58,0,847,12,68,19,2,0,0,1,4,7,0,0,0,20,1,0,1,394,83,0,0,1,48,32,0,0,9,20,0,10,110,1,52,0,0,0,0,3,1,1,25,0,0,0,6,4,0,0,7,2,0,7,2,0,97,15,0,3,0,33,18,178,1,0,0,50,3,0,0,2,0,4,43,3,0,0,0,0,1,82,0,0,1,0,0,0,0,0,27
38,04/1915,4,0,0,271,0,1,12,29,146,165,0,0,0,1,42,0,620,6,51,18,0,0,0,0,9,3,0,0,1,21,4,0,2,378,28,0,0,4,65,26,0,0,5,21,1,8,172,3,45,0,0,0,0,2,0,1,40,1,0,0,13,5,0,0,4,2,1,5,2,1,39,3,0,2,0,34,11,129,0,0,0,64,0,0,0,1,0,15,55,4,0,0,0,0,0,59,0,2,0,0,0,0,0,0,26
39,05/1915,1,0,1,324,0,0,9,10,188,143,0,0,0,1,48,0,758,5,182,10,6,0,0,1,3,5,1,0,0,17,0,0,3,467,27,0,0,0,21,29,0,0,3,51,1,4,326,2,117,0,0,0,0,3,3,1,31,0,0,0,4,4,1,0,6,0,0,5,2,0,41,17,0,0,0,23,12,93,1,0,0,44,0,0,0,0,0,13,71,4,0,0,0,0,0,42,0,0,0,0,0,0,0,0,26
40,06/1915,0,0,1,333,0,1,6,2,85,179,0,1,1,4,70,0,687,7,61,14,7,0,0,0,0,11,0,0,0,15,0,0,2,389,50,0,1,0,14,13,0,0,2,29,3,10,141,0,50,0,0,0,1,3,2,4,42,1,0,0,23,1,0,0,3,4,0,3,2,1,29,7,0,3,0,86,15,141,0,0,0,63,0,0,0,0,0,37,62,21,0,0,0,0,0,49,0,0,0,0,0,0,0,0,26
41,07/1915,0,0,1,335,0,3,8,5,66,123,0,3,0,5,34,0,654,5,45,26,1,0,0,0,0,6,0,0,0,16,0,0,1,401,19,1,6,0,8,18,0,1,0,17,0,2,50,0,36,0,0,0,3,0,0,7,32,0,0,1,7,2,0,0,19,0,0,7,3,2,73,6,0,2,0,72,7,135,0,0,2,40,0,0,0,0,0,35,84,3,0,0,0,0,3,54,0,0,0,0,0,0,0,0,27
42,08/1915,0,0,1,424,1,48,7,15,64,141,0,1,0,8,133,0,650,6,39,14,1,0,0,1,0,8,0,0,1,10,1,0,0,438,91,2,11,1,13,24,0,0,1,14,0,1,92,7,57,0,0,0,1,3,7,4,35,0,0,0,11,2,0,0,6,1,0,1,2,2,73,12,0,7,0,68,14,209,0,0,1,109,0,0,0,0,0,19,36,3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,26
43,09/1915,0,0,1,318,0,30,14,19,61,70,0,0,0,10,233,0,586,3,23,8,1,0,0,2,4,11,0,0,0,19,3,0,15,400,66,2,2,0,13,31,0,0,4,15,0,7,57,2,30,0,0,0,1,0,0,1,32,0,0,0,11,4,0,0,12,1,0,3,2,3,63,8,0,2,0,72,8,201,2,0,0,132,0,0,0,1,0,15,77,3,0,0,0,0,1,63,0,0,0,0,0,0,0,0,26
44,10/1915,0,0,1,184,0,3,5,21,33,66,0,1,0,4,288,0,619,3,19,22,1,0,0,0,3,4,0,0,0,10,0,0,0,426,200,1,1,0,6,26,0,0,3,16,1,4,74,4,15,0,0,0,2,5,0,4,31,1,0,0,13,2,0,0,13,1,0,1,1,0,19,6,0,3,0,74,9,181,0,0,0,291,0,0,0,0,0,15,59,3,0,0,0,0,3,89,0,2,1,0,0,0,0,0,26
45,11/1915,0,0,3,187,0,2,2,8,51,95,0,0,0,1,71,0,752,2,34,15,0,0,0,0,1,19,0,0,0,18,2,0,1,366,205,0,2,0,6,25,0,0,4,15,0,10,69,4,60,0,1,0,1,3,3,8,7,1,2,0,7,11,1,0,5,1,0,1,7,1,17,3,0,0,0,68,18,133,0,0,0,195,0,0,0,1,0,23,41,1,0,0,0,0,3,21,0,0,1,0,0,0,0,0,26
46,12/1915,0,0,1,243,0,4,0,13,98,146,0,0,0,5,66,0,784,2,60,17,0,0,0,0,4,13,0,0,1,7,0,0,2,434,192,0,0,2,16,21,0,4,5,17,0,5,62,2,9,0,0,0,1,2,0,8,17,0,0,0,12,5,1,0,1,3,0,0,0,1,25,5,0,1,0,60,19,66,0,0,0,137,0,0,0,5,0,15,26,7,0,0,0,0,3,40,2,0,0,0,0,0,0,0,27
47,01/1916,0,0,0,228,0,6,0,16,65,97,0,0,0,2,37,0,719,6,74,11,1,0,0,0,6,9,0,0,0,7,0,0,0,335,97,0,1,0,3,20,0,0,7,61,0,4,51,3,28,0,0,0,0,0,0,4,27,0,0,0,13,4,0,0,2,0,0,5,0,0,11,3,0,0,0,24,8,64,0,0,1,67,0,0,0,4,0,18,39,15,0,0,0,0,0,24,0,0,3,0,0,0,0,0,25
48,02/1916,0,0,3,214,0,3,1,23,41,129,0,0,0,3,25,0,707,6,35,13,0,0,0,2,1,7,0,0,0,10,2,0,0,297,42,0,1,0,8,8,0,2,8,10,0,3,48,3,19,0,0,0,0,1,0,3,7,0,1,0,2,7,0,0,4,0,1,1,0,25,29,5,0,2,0,32,3,93,0,0,1,34,1,0,0,1,0,18,43,2,0,0,0,0,1,19,1,0,0,0,0,0,0,0,25
49,03/1916,0,0,0,181,1,0,0,8,21,70,0,0,0,7,15,0,797,6,34,11,1,0,0,0,1,7,0,0,0,14,0,0,0,334,18,0,1,0,1,15,0,3,7,26,0,1,51,11,8,0,0,0,0,5,0,1,97,0,0,0,6,3,0,0,2,0,0,1,1,0,17,36,0,1,0,32,20,54,0,0,0,15,0,0,0,2,0,14,46,1,0,0,0,0,1,41,0,0,1,0,0,0,0,0,27
50,04/1916,0,0,1,303,0,0,0,11,23,124,0,0,0,6,19,0,673,3,36,5,0,0,0,0,2,6,0,0,0,7,0,0,0,344,35,0,0,0,7,21,0,0,7,84,1,2,27,6,16,0,0,0,0,1,0,1,43,0,0,0,12,7,0,0,4,0,0,12,0,1,34,16,0,4,0,15,7,51,0,0,1,22,1,0,0,2,0,7,54,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,25
51,05/1916,0,0,3,282,0,1,5,12,13,54,0,0,0,15,13,0,620,4,25,6,1,0,0,0,3,9,0,0,1,13,2,0,3,376,36,0,1,1,1,16,0,0,7,231,2,6,37,4,21,0,0,0,0,0,0,0,45,0,1,0,14,6,0,0,3,2,0,1,3,3,18,4,0,2,0,4,15,61,0,0,0,17,0,0,0,1,0,24,50,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,27
52,06/1916,2,0,2,169,0,13,3,18,17,57,0,2,0,0,10,0,711,0,40,11,0,0,0,0,1,23,0,0,0,11,1,0,3,319,50,0,0,1,8,10,0,0,2,100,0,8,34,1,30,0,0,0,0,0,0,6,137,0,0,0,16,9,0,0,4,0,0,2,0,2,14,3,0,0,0,21,16,95,2,0,0,7,0,0,0,3,0,28,20,1,0,0,0,0,0,15,0,3,0,0,0,0,0,0,26
53,07/1916,0,0,0,177,1,9,2,10,43,69,0,0,0,8,4,0,587,7,32,9,0,0,0,0,1,8,0,0,0,14,1,0,4,333,14,0,0,0,26,13,0,0,2,115,0,1,36,0,17,0,0,0,0,1,0,2,29,0,0,0,13,6,0,0,5,0,0,0,2,0,15,9,0,1,0,21,18,90,0,0,0,7,0,0,0,0,0,16,32,7,0,0,0,0,0,4,0,2,1,0,0,0,0,0,26
54,08/1916,0,0,0,234,0,3,6,15,54,71,0,2,0,6,52,0,583,2,29,16,6,0,0,0,5,11,0,0,0,32,0,0,2,370,74,0,1,0,32,10,0,0,4,58,0,2,64,3,47,0,0,0,0,0,1,5,18,2,0,0,11,3,0,0,4,0,1,2,4,3,18,14,0,0,0,167,15,100,1,0,0,38,0,0,0,0,0,39,30,4,0,0,0,0,1,31,0,0,0,0,0,0,0,0,27
55,09/1916,0,0,0,123,0,0,4,31,20,69,0,1,0,4,79,0,673,4,40,30,0,0,0,0,2,5,0,0,0,12,1,0,2,390,157,0,1,2,11,19,0,0,7,18,0,0,34,1,29,0,0,0,1,0,0,0,13,0,6,0,6,7,0,0,6,1,0,1,4,0,11,8,0,0,0,98,15,80,1,0,0,26,0,0,0,0,0,10,35,4,0,0,0,0,1,24,0,0,1,0,0,0,0,0,26
56,10/1916,0,0,0,143,0,1,9,60,26,74,0,12,0,6,28,0,674,6,42,13,3,0,0,0,0,3,0,0,0,39,7,0,2,321,85,0,0,0,14,35,0,0,5,82,0,1,41,1,21,0,0,1,1,1,0,3,21,0,0,0,33,19,0,0,13,1,0,1,9,1,18,3,0,0,0,115,37,68,1,0,0,31,1,0,0,0,0,29,24,2,0,0,0,0,0,10,0,0,1,0,0,0,0,0,26
57,11/1916,0,0,1,201,0,0,4,56,47,89,0,0,0,0,20,0,641,2,36,4,1,0,0,3,3,8,0,0,0,20,4,0,6,280,57,0,1,0,13,24,0,0,4,20,0,6,41,1,31,0,0,0,0,0,0,5,31,0,0,0,13,3,0,0,1,1,1,1,0,1,49,4,0,1,0,56,23,103,0,0,0,24,0,0,0,2,0,14,20,2,0,0,0,0,1,14,0,0,0,0,0,0,0,0,26
58,12/1916,0,0,3,338,0,0,11,43,28,92,0,0,0,0,21,0,706,2,31,6,1,0,0,2,0,9,0,0,0,28,3,0,1,376,84,1,1,0,9,23,0,1,5,42,0,4,26,2,47,0,0,0,1,0,0,9,9,0,0,0,9,3,0,0,0,3,0,5,0,0,38,6,0,2,0,81,12,116,0,0,0,24,0,0,0,1,0,11,65,4,0,0,0,0,2,17,0,1,0,0,0,0,0,0,26
59,01/1917,1,0,3,246,0,2,1,16,35,131,0,0,0,10,22,0,624,1,41,3,4,0,0,0,4,9,0,0,0,32,4,0,0,290,62,0,3,0,9,26,0,0,3,32,0,3,63,0,61,0,0,0,0,0,0,9,26,0,0,0,11,7,0,0,3,3,0,2,1,1,29,4,0,2,0,68,18,139,0,0,0,24,0,0,0,0,0,10,63,7,0,0,0,0,1,20,0,1,0,0,0,0,0,0,26
60,02/1917,2,0,1,452,0,1,5,30,47,73,0,4,0,14,9,0,651,15,62,16,2,0,0,0,35,20,0,0,0,52,9,0,3,355,43,0,0,2,3,57,0,0,9,35,0,1,33,0,84,0,0,0,0,1,1,8,23,0,0,0,10,17,0,0,1,1,0,6,4,3,21,2,0,1,0,21,25,129,0,0,0,12,0,0,0,1,0,25,74,2,0,0,0,0,3,23,0,0,0,0,0,0,0,0,24
61,03/1917,1,0,1,328,0,3,13,56,30,70,0,1,0,6,6,0,967,2,85,26,2,0,0,1,16,17,0,0,0,21,7,0,9,400,22,0,1,0,2,45,0,0,6,117,1,1,23,2,67,0,0,0,0,1,0,3,90,0,0,0,11,12,0,0,8,10,0,5,4,6,21,3,0,0,0,11,25,192,0,0,1,12,0,0,0,2,0,24,34,2,0,0,0,0,1,12,0,0,0,0,0,0,0,0,27
