,DATE,afghanistan,afrique du sud,algérie,allemagne,angola,arabie,argentine,australie,autriche,belgique,birmanie,bolivie,bosnieherzégovine,brésil,bulgarie,cambodge,canada,chili,chine,colombie,corée,costa rica,côte d’ivoire,croatie,cuba,danemark,égypte,émirats arabes unis,équateur,espagne,étatsunis,éthiopie,finlande,france,grèce,guatemala,haïti,honduras,hongrie,inde,indonésie,irak,iran,irlande,islande,israël,italie,jamaïque,japon,jordanie,kosovo,koweït,laos,liban,libye,maroc,mexique,monaco,nicaragua,nigéria,norvège,nouvellezélande,ouganda,pakistan,panama,palestine,paraguay,paysbas,pérou,philippines,pologne,portugal,qatar,congo,tchécoslovaquie,roumanie,royaumeuni,russie,salvador,rwanda,sénégal,serbie,singapour,slovaquie,somalie,soudan,sri lanka,suède,suisse,syrie,tadjikistan,taïwan,thaïlande,timororiental,tunisie,turquie,ukraine,uruguay,venezuela,vietnam,yémen,république tchèque,yougoslavie,urss,NbEditions
614,05/1963,0,0,12,24,1,1,0,6,2,13,0,0,0,10,0,1,870,4,28,14,3,0,0,0,31,4,0,0,0,3,1,0,2,148,10,2,14,0,6,9,0,6,3,1,0,6,13,2,13,0,0,2,15,1,0,6,3,0,0,2,5,2,0,11,0,2,0,2,0,1,10,4,0,12,3,2,6,24,0,0,3,0,0,0,1,2,0,8,13,14,0,0,1,0,1,1,0,0,3,0,1,0,4,1,27
615,06/1963,0,0,9,19,0,0,0,6,3,15,1,0,0,3,1,0,695,4,45,15,5,0,0,0,19,3,0,0,0,6,2,0,0,127,4,0,0,1,2,9,0,2,5,2,2,6,14,0,12,1,0,0,4,0,0,12,11,1,0,1,0,1,0,13,0,1,0,1,4,0,7,1,0,5,1,0,4,14,0,0,1,0,1,1,1,0,0,11,14,4,0,0,2,0,0,21,0,0,1,4,3,0,4,2,25
616,07/1963,0,0,4,22,3,1,5,6,1,16,0,2,0,4,1,2,717,0,75,12,3,0,0,0,26,3,0,0,0,8,2,0,0,163,10,3,3,4,5,4,1,1,0,2,0,3,5,6,8,2,0,0,4,11,0,8,14,1,0,1,0,3,0,11,0,4,0,5,0,0,12,9,0,14,0,7,6,19,0,0,2,0,0,0,0,2,0,9,21,7,0,0,1,0,4,4,0,0,5,5,5,0,9,5,27
617,08/1963,0,0,2,12,1,0,1,6,0,16,0,1,0,21,0,3,692,2,87,10,18,0,0,0,12,3,0,0,0,1,2,0,2,95,6,0,4,0,13,9,1,2,0,2,0,14,7,0,36,0,0,0,4,3,1,0,16,3,1,2,8,4,0,9,0,2,0,2,2,10,12,21,0,11,2,1,10,17,0,0,2,0,3,0,0,14,0,19,23,16,0,0,0,0,4,4,0,0,2,31,2,0,18,4,27
618,09/1963,0,0,2,9,0,0,2,4,2,7,2,0,0,5,1,4,643,6,68,15,8,0,0,0,8,2,0,0,0,5,1,0,0,123,6,0,1,0,2,2,4,0,1,2,0,3,8,0,17,1,0,0,4,1,0,5,5,0,0,4,1,2,0,13,1,3,0,4,1,9,0,10,0,15,2,1,12,28,0,0,0,1,7,0,6,1,0,8,12,1,0,1,0,0,4,5,0,0,5,67,2,0,6,6,25
619,10/1963,0,0,11,18,0,0,3,7,5,21,0,2,0,13,2,0,857,3,63,14,15,0,0,0,18,5,0,0,0,2,1,0,0,280,8,0,4,3,2,2,0,0,2,4,0,9,5,9,24,1,0,0,1,4,0,34,9,0,0,3,1,3,1,2,0,1,1,1,14,3,9,1,0,7,4,1,9,22,3,0,1,0,3,0,3,1,0,19,26,7,0,0,0,0,3,1,1,0,4,13,0,0,2,3,27
620,11/1963,0,0,0,28,0,0,2,4,2,8,1,1,0,4,2,13,799,3,60,11,3,0,0,0,23,7,0,0,0,7,0,0,1,146,10,0,0,1,6,7,0,1,1,1,0,2,5,1,20,2,0,0,1,3,0,6,9,3,0,0,3,3,0,2,2,0,0,2,5,0,12,6,0,7,3,3,4,22,0,0,0,0,1,0,2,0,0,23,2,2,0,0,3,0,2,6,0,0,2,13,1,0,13,7,26
621,12/1963,0,0,2,15,3,0,1,8,1,6,1,7,0,5,3,5,759,5,105,15,1,0,0,0,17,3,0,0,0,2,5,0,0,150,16,0,1,1,5,1,0,0,7,1,0,15,7,9,14,9,0,0,1,1,0,5,9,6,0,2,7,1,0,1,0,9,0,7,2,0,2,8,0,9,8,16,8,36,2,1,1,0,0,0,0,1,0,26,20,1,0,0,0,0,4,9,0,0,6,8,1,0,2,7,25
622,01/1964,0,0,1,14,1,0,0,5,7,12,0,0,0,6,1,9,782,0,181,6,4,0,0,0,41,3,0,0,0,3,2,0,5,249,6,1,0,2,2,4,1,0,6,1,0,22,5,4,27,8,0,0,11,5,0,3,8,1,0,1,10,1,2,10,71,11,1,5,0,6,7,3,0,8,7,2,4,32,1,0,2,1,2,0,0,2,0,11,19,6,0,0,2,0,6,13,0,0,2,24,1,0,8,6,25
623,02/1964,0,0,3,13,1,0,0,6,9,14,0,2,0,4,0,7,774,2,152,13,6,0,0,0,43,1,0,0,0,4,1,0,6,195,26,0,11,1,2,3,1,0,1,0,0,8,14,4,21,1,0,0,10,3,0,6,13,2,0,0,3,3,3,6,8,2,3,8,1,6,13,2,0,7,8,1,22,31,1,3,0,0,1,0,18,8,0,18,27,0,0,5,1,0,4,26,1,1,1,46,1,0,2,9,25
